GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__AG29 sp003221995	1	1	s__(g__Flavobacterium) 100.0%
s__Phil12 sp900314725	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900321005	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900314925	1	1	s__(g__Flavobacterium) 100.0%
s__F082 sp900318465	1	1	s__(g__Flavobacterium) 100.0%
s__AV2 sp003219675	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900321775	1	1	s__(g__Flavobacterium) 100.0%
s__Phil12 sp900315335	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900320365	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900313205	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003217835	1	1	s__(g__Flavobacterium) 100.0%
s__Phil12 sp900319595	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003221035	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003220075	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900316245	1	1	s__(g__Flavobacterium) 100.0%
s__AG11 sp003223455	1	1	s__(g__Flavobacterium) 100.0%
s__F082 sp900317055	1	1	s__(g__Flavobacterium) 100.0%
s__RUG163 sp900316125	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900317065	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900319105	1	1	s__(g__Flavobacterium) 100.0%
s__AG41 sp003220855	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003219925	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1247 sp003136975	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900313275	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900319645	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-1529 sp003140835	1	1	s__(g__Flavobacterium) 100.0%
s__PSRL01 sp003176035	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1250 sp003142495	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003220985	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1756 sp900321845	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003217965	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003221895	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1251 sp003141205	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003219395	1	1	s__(g__Flavobacterium) 100.0%
s__BOG-932 sp003165335	1	1	s__(g__Flavobacterium) 100.0%
s__Reyranella sp003153415	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003219695	1	1	s__(g__Flavobacterium) 100.0%
s__AV2 sp003219345	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003221825	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900318015	1	1	s__(g__Flavobacterium) 100.0%
s__AG29 sp003222115	1	1	s__(g__Flavobacterium) 100.0%
s__AV80 sp003218305	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003218525	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900316005	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-500 sp003252195	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-1516 sp003156715	1	1	s__(g__Flavobacterium) 100.0%
s__UBA11574 sp002868985	1	1	s__(g__Flavobacterium) 100.0%
s__Eremiobacter sp003244105	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003221295	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1478 sp003161555	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900320975	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900320385	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003223395	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-4-69-16 sp003222135	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1483 sp003167155	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900318175	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003219335	1	1	s__(g__Flavobacterium) 100.0%
s__UBA10450 sp003219995	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003219095	1	1	s__(g__Flavobacterium) 100.0%
s__AG41 sp003221085	1	1	s__(g__Flavobacterium) 100.0%
s__AG12 sp003222235	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900319485	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-1524 sp003164495	1	1	s__(g__Flavobacterium) 100.0%
s__F23-D06 sp900316305	1	1	s__(g__Flavobacterium) 100.0%
s__AV17 sp003219225	1	1	s__(g__Flavobacterium) 100.0%
s__Allorhizobium sp900473745	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900320965	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1478 sp003161435	1	1	s__(g__Flavobacterium) 100.0%
s__AV80 sp003218375	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900317955	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003219355	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900321245	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003221075	1	1	s__(g__Flavobacterium) 100.0%
s__Campylobacter sp900319915	1	1	s__(g__Flavobacterium) 100.0%
s__QHBJ01 sp003243975	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-544 sp003251175	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003218345	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900321975	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1232 sp900322025	1	1	s__(g__Flavobacterium) 100.0%
s__AG41 sp003222155	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900316675	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1247 sp003155795	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900318565	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1232 sp900316795	1	1	s__(g__Flavobacterium) 100.0%
s__BOG-933 sp003165295	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1439 sp003152315	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900318665	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900319185	1	1	s__(g__Flavobacterium) 100.0%
s__PSRM01 sp003176045	1	1	s__(g__Flavobacterium) 100.0%
s__AG41 sp003220975	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900319975	1	1	s__(g__Flavobacterium) 100.0%
s__BM002 sp002899795	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1528 sp003140855	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-1484 sp003167055	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900318835	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900318245	1	1	s__(g__Flavobacterium) 100.0%
s__AG41 sp003222055	1	1	s__(g__Flavobacterium) 100.0%
s__AV2 sp003218935	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900318275	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003220955	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-318 sp003248075	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900319405	1	1	s__(g__Flavobacterium) 100.0%
s__F23-D06 sp900315245	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003218395	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900316055	1	1	s__(g__Flavobacterium) 100.0%
s__Treponema_D sp900319625	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900319035	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-1495 sp003136895	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900315935	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003219115	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900317345	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900320545	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1217 sp900316965	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003219465	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900316955	1	1	s__(g__Flavobacterium) 100.0%
s__F23-D06 sp900319925	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003218915	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-555 sp003140175	1	1	s__(g__Flavobacterium) 100.0%
s__BOG-1155 sp003165115	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-739 sp003161615	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-894 sp003140315	1	1	s__(g__Flavobacterium) 100.0%
s__Rhizobium sp900470805	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-877 sp003135035	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-549 sp003162235	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-875 sp003244045	1	1	s__(g__Flavobacterium) 100.0%
s__Pararhizobium sp900472785	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-549 sp003132665	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-672 sp003158705	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-549 sp003170995	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-739 sp003139545	1	1	s__(g__Flavobacterium) 100.0%
s__ZC4RG35 sp003242515	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-851 sp003136295	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-504 sp003168295	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1135 sp003142295	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1160 sp003142835	1	1	s__(g__Flavobacterium) 100.0%
s__UBA8639 sp003235785	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-8 sp003232175	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-680 sp003157385	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-877 sp003164475	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1166 sp003142535	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-870 sp003151935	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-851 sp003162415	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-727 sp003154635	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-600 sp003136795	1	1	s__(g__Flavobacterium) 100.0%
s__UBA8260 sp003141695	1	1	s__(g__Flavobacterium) 100.0%
s__QHBS01 sp003243885	1	1	s__(g__Flavobacterium) 100.0%
s__Bosea sp900470775	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-747 sp003151395	1	1	s__(g__Flavobacterium) 100.0%
s__Neorhizobium sp900472675	1	1	s__(g__Flavobacterium) 100.0%
s__Neorhizobium sp900469345	1	1	s__(g__Flavobacterium) 100.0%
s__Methylocella sp003244015	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-647 sp003132585	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-242 sp003235715	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-607 sp003134755	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-612 sp003134505	1	1	s__(g__Flavobacterium) 100.0%
s__Thermopolyspora sp003242605	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-872 sp003151665	1	1	s__(g__Flavobacterium) 100.0%
s__Rhodobium sp002869065	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-927 sp003151375	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-505 sp003168255	1	1	s__(g__Flavobacterium) 100.0%
s__SM23-61 sp003154025	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-851 sp003135895	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-875 sp003153125	1	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-64-13 sp003157225	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-259 sp003235465	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-752 sp003157715	1	1	s__(g__Flavobacterium) 100.0%
s__UBA8260 sp003153215	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-504 sp003161205	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-877 sp003133485	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-610 sp003134555	1	1	s__(g__Flavobacterium) 100.0%
s__Smithella sp003141615	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-851 sp003132525	1	1	s__(g__Flavobacterium) 100.0%
s__UBA8639 sp003233615	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudolabrys sp003152455	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2767 sp003228955	1	1	s__(g__Flavobacterium) 100.0%
s__Dormibacter sp003244185	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-921 sp003153975	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-549 sp003170155	1	1	s__(g__Flavobacterium) 100.0%
s__BM303 sp002869085	1	1	s__(g__Flavobacterium) 100.0%
s__BOG-931 sp003164375	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-851 sp003131685	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2774 sp003229065	1	1	s__(g__Flavobacterium) 100.0%
s__Rhizobium sp900472625	1	1	s__(g__Flavobacterium) 100.0%
s__UBA6382 sp900318305	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-1196 sp003140135	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-743 sp003151955	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-467 sp003252455	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-116 sp003229115	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003170315	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900322175	1	1	s__(g__Flavobacterium) 100.0%
s__BM516 sp002869275	1	1	s__(g__Flavobacterium) 100.0%
s__LD21 sp003141415	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003132205	1	1	s__(g__Flavobacterium) 100.0%
s__LD21 sp003141495	1	1	s__(g__Flavobacterium) 100.0%
s__C941 sp900318255	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-360 sp003247275	1	1	s__(g__Flavobacterium) 100.0%
s__UBA668 sp003154135	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003152215	1	1	s__(g__Flavobacterium) 100.0%
s__Arcobacter sp002869535	1	1	s__(g__Flavobacterium) 100.0%
s__Prochlorococcus_B sp003279565	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-182 sp003230635	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-24 sp003233255	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003151555	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-661 sp003131945	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-226 sp003229345	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003131665	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900320905	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900313235	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-671 sp003158835	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900315105	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-272 sp003235325	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-1198 sp003164785	1	1	s__(g__Flavobacterium) 100.0%
s__LD21 sp003157055	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-473 sp003160635	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-149 sp003230795	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-461 sp003151235	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900319305	1	1	s__(g__Flavobacterium) 100.0%
s__Halarcobacter sp003252105	1	1	s__(g__Flavobacterium) 100.0%
s__LD21 sp003155705	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-582 sp003251015	1	1	s__(g__Flavobacterium) 100.0%
s__RSA11 sp002919115	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900314195	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900318585	1	1	s__(g__Flavobacterium) 100.0%
s__GCA-001735895 sp003231795	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-609 sp003249255	1	1	s__(g__Flavobacterium) 100.0%
s__BMS3Bbin07 sp003232715	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1191 sp003132025	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-186 sp003230545	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-461 sp003161255	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-309 sp003228415	1	1	s__(g__Flavobacterium) 100.0%
s__C941 sp900318345	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3839 sp900319385	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-21 sp003233345	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-688 sp003156795	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-309 sp003247835	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-756 sp003164275	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900315035	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003134515	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900318815	1	1	s__(g__Flavobacterium) 100.0%
s__Methylocystis sp003152255	1	1	s__(g__Flavobacterium) 100.0%
s__UBA6398 sp900314335	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003162475	1	1	s__(g__Flavobacterium) 100.0%
s__UBA4421 sp003230835	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-567 sp003249795	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900316445	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-756 sp003157945	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900317545	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003133005	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-421 sp003245715	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003141815	1	1	s__(g__Flavobacterium) 100.0%
s__UBA8639 sp003228495	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-37 sp003232015	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-152 sp003229995	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-229 sp003228405	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-76 sp003230195	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900314395	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-459 sp003162395	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-140 sp003230085	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900315545	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-756 sp003164095	1	1	s__(g__Flavobacterium) 100.0%
s__Acidulodesulfobacterium sp003232385	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003158855	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-473 sp003133545	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-1198 sp003165495	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-486 sp003251635	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-473 sp003169675	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1191 sp003162555	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900314455	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003136415	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1219 sp003155415	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900314365	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-146 sp003228965	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003163875	1	1	s__(g__Flavobacterium) 100.0%
s__UBA12088 sp003252295	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-459 sp003135595	1	1	s__(g__Flavobacterium) 100.0%
s__LD21 sp003162595	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-224 sp003229375	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-742 sp003152015	1	1	s__(g__Flavobacterium) 100.0%
s__13-2-20CM-66-19 sp003156695	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900319895	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900315455	1	1	s__(g__Flavobacterium) 100.0%
s__C941 sp900318645	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-979 sp003142515	1	1	s__(g__Flavobacterium) 100.0%
s__RAAP-2 sp003133665	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900313805	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900322035	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-22 sp003233295	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3839 sp900314125	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-693 sp003156595	1	1	s__(g__Flavobacterium) 100.0%
s__Prochlorococcus_B sp003279585	1	1	s__(g__Flavobacterium) 100.0%
s__Halarcobacter sp002869565	1	1	s__(g__Flavobacterium) 100.0%
s__Methylosinus sp003105285	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-191 sp003230535	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-457 sp003161575	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-254 sp003235555	1	1	s__(g__Flavobacterium) 100.0%
s__Bact-19 sp003249955	1	1	s__(g__Flavobacterium) 100.0%
s__LD21 sp003141715	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-41 sp003233075	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-53 sp003232915	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1038 sp003158885	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-188 sp003169715	1	1	s__(g__Flavobacterium) 100.0%
s__UBA4372 sp900316355	1	1	s__(g__Flavobacterium) 100.0%
s__QHXN01 sp003222975	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfotelmatobacter sp003136335	1	1	s__(g__Flavobacterium) 100.0%
s__QHBW01 sp003244205	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfotelmatobacter sp003164855	1	1	s__(g__Flavobacterium) 100.0%
s__Gp7-AA10 sp003223695	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1344 sp003171235	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-360 sp003165465	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1039 sp003153755	1	1	s__(g__Flavobacterium) 100.0%
s__Gp22-AA3 sp003223145	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-185 sp003228685	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7541 sp003224105	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-189 sp003140295	1	1	s__(g__Flavobacterium) 100.0%
s__QIAJ01 sp003225495	1	1	s__(g__Flavobacterium) 100.0%
s__UBA11740 sp003222855	1	1	s__(g__Flavobacterium) 100.0%
s__QHYU01 sp003224235	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7878 sp003045865	1	1	s__(g__Flavobacterium) 100.0%
s__AA32 sp003223555	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-178 sp003142355	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1257 sp003135995	1	1	s__(g__Flavobacterium) 100.0%
s__Terracidiphilus sp003165935	1	1	s__(g__Flavobacterium) 100.0%
s__UBA4372 sp900313705	1	1	s__(g__Flavobacterium) 100.0%
s__AAA536-G10 sp003282885	1	1	s__(g__Flavobacterium) 100.0%
s__Gp13-AA74 sp003224695	1	1	s__(g__Flavobacterium) 100.0%
s__Prochlorococcus_B sp003283665	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-189 sp003224175	1	1	s__(g__Flavobacterium) 100.0%
s__Gp6-AA45 sp003223775	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-129 sp003167255	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfotelmatobacter sp003223595	1	1	s__(g__Flavobacterium) 100.0%
s__UBA4951 sp900321485	1	1	s__(g__Flavobacterium) 100.0%
s__QHZM01 sp003224665	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1038 sp003141915	1	1	s__(g__Flavobacterium) 100.0%
s__Prochlorococcus_A sp003281405	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-257 sp003135315	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-330 sp003137035	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-270 sp003132825	1	1	s__(g__Flavobacterium) 100.0%
s__G233 sp003104995	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7541 sp003224055	1	1	s__(g__Flavobacterium) 100.0%
s__Terracidiphilus sp003156235	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7541 sp003224525	1	1	s__(g__Flavobacterium) 100.0%
s__QHXZ01 sp003223165	1	1	s__(g__Flavobacterium) 100.0%
s__TK10-74A sp003228175	1	1	s__(g__Flavobacterium) 100.0%
s__UBA10364 sp003023665	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-209 sp003138955	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-561 sp003249935	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-189 sp003223325	1	1	s__(g__Flavobacterium) 100.0%
s__QIAW01 sp003225655	1	1	s__(g__Flavobacterium) 100.0%
s__RUG210 sp900316575	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900320845	1	1	s__(g__Flavobacterium) 100.0%
s__Terracidiphilus sp003167305	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-278 sp003133505	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900320445	1	1	s__(g__Flavobacterium) 100.0%
s__Thermodesulfobacterium geofontis_A	1	1	s__Thermodesulfobacterium geofontis 100.0%
s__Prevotella sp900316475	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-89 sp003132905	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-965 sp003151415	1	1	s__(g__Flavobacterium) 100.0%
s__Gp1-AA133 sp003224995	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2450 sp900314865	1	1	s__(g__Flavobacterium) 100.0%
s__PSRI01 sp003175935	1	1	s__(g__Flavobacterium) 100.0%
s__Terracidiphilus sp003165095	1	1	s__(g__Flavobacterium) 100.0%
s__QHXQ01 sp003223935	1	1	s__(g__Flavobacterium) 100.0%
s__Terracidiphilus sp003165075	1	1	s__(g__Flavobacterium) 100.0%
s__UBA4372 sp900320715	1	1	s__(g__Flavobacterium) 100.0%
s__Fen-1039 sp003158495	1	1	s__(g__Flavobacterium) 100.0%
s__AG-422-B15 sp003213715	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfotelmatobacter sp003132445	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1033 sp003152165	1	1	s__(g__Flavobacterium) 100.0%
s__Bog-105 sp003169195	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfotelmatobacter sp003138975	1	1	s__(g__Flavobacterium) 100.0%
s__Terracidiphilus sp003164635	1	1	s__(g__Flavobacterium) 100.0%
s__SR-FBR-E99 sp003250475	1	1	s__(g__Flavobacterium) 100.0%
s__UBA4951 sp900320745	1	1	s__(g__Flavobacterium) 100.0%
s__Gp7-AA10 sp003222375	1	1	s__(g__Flavobacterium) 100.0%
